step,tag,value
18432,train/policy_gradient_loss,-0.008943557157181203
20480,train/policy_gradient_loss,-0.009457194246351719
22528,train/policy_gradient_loss,-0.008080841950140893
24576,train/policy_gradient_loss,-0.011488796630874275
26624,train/policy_gradient_loss,-0.011464755982160568
28672,train/policy_gradient_loss,-0.010783996828831733
30720,train/policy_gradient_loss,-0.01076886234804988
32768,train/policy_gradient_loss,-0.009278484992682934
34816,train/policy_gradient_loss,-0.009580317791551352
36864,train/policy_gradient_loss,-0.009228797489777207
38912,train/policy_gradient_loss,-0.009502483904361725
40960,train/policy_gradient_loss,-0.009736285218968988
43008,train/policy_gradient_loss,-0.010969463083893061
45056,train/policy_gradient_loss,-0.008948884950950742
47104,train/policy_gradient_loss,-0.008655542461201548
49152,train/policy_gradient_loss,-0.009469489799812436
51200,train/policy_gradient_loss,-0.00912052346393466
4096,train/std,0.9986156463623047
6144,train/std,0.9951843738555908
8192,train/std,0.9913274228572846
10240,train/std,0.9827703058719635
12288,train/std,0.97656170129776
14336,train/std,0.9712007284164429
16384,train/std,0.960952079296112
18432,train/std,0.9514648079872131
20480,train/std,0.9445527076721192
22528,train/std,0.9396374106407166
24576,train/std,0.9274989187717437
26624,train/std,0.9116564273834229
28672,train/std,0.9020801842212677
30720,train/std,0.8925523400306702
32768,train/std,0.8861365437507629
34816,train/std,0.8768727004528045
36864,train/std,0.8715117037296295
38912,train/std,0.8651784658432007
40960,train/std,0.8563847720623017
43008,train/std,0.8503983855247498
45056,train/std,0.8441632390022278
47104,train/std,0.8391947150230408
49152,train/std,0.8339453160762786
51200,train/std,0.8289478123188019
4096,train/value_loss,126.75262414813042
6144,train/value_loss,78.5247249186039
8192,train/value_loss,47.04176903888583
10240,train/value_loss,86.9156774610281
12288,train/value_loss,43.24789236187935
14336,train/value_loss,49.75311592668295
16384,train/value_loss,21.36476021707058
18432,train/value_loss,35.61254897192121
20480,train/value_loss,26.96219148412347
22528,train/value_loss,24.63210884332657
24576,train/value_loss,9.867583602666855
26624,train/value_loss,2.378196553140879
28672,train/value_loss,7.4423388667404655
30720,train/value_loss,6.921440193802118
32768,train/value_loss,15.027245967835189
34816,train/value_loss,6.874901588261127
36864,train/value_loss,8.660095292329789
38912,train/value_loss,12.577337974309922
40960,train/value_loss,3.871314011514187
43008,train/value_loss,3.494357930868864
45056,train/value_loss,10.552906268090009
47104,train/value_loss,12.585501702129841
49152,train/value_loss,6.572297937422991
51200,train/value_loss,6.228907202556729
